date,value,minValue,maxValue
2015-01-06 16:12:19,540.667,-nan(ind),-nan(ind)
2015-01-06 16:17:19,584.538,-nan(ind),-nan(ind)
2015-01-06 16:22:19,568.48,-nan(ind),-nan(ind)
2015-01-06 16:27:19,568.48,-nan(ind),-nan(ind)
2015-01-06 16:32:19,527.045,-nan(ind),-nan(ind)
2015-01-06 16:37:19,505.087,-nan(ind),-nan(ind)
2015-01-06 16:42:19,842.44,-nan(ind),-nan(ind)
2015-01-06 16:47:19,843.48,-nan(ind),-nan(ind)
2015-01-06 16:52:19,876.708,-nan(ind),-nan(ind)
2015-01-06 16:57:19,621.913,-nan(ind),-nan(ind)
2015-01-06 17:02:19,620.782,-nan(ind),-nan(ind)
2015-01-06 17:07:19,761.708,-nan(ind),-nan(ind)
2015-01-06 17:12:19,551.375,-nan(ind),-nan(ind)
2015-01-06 17:17:19,552.542,-nan(ind),-nan(ind)
2015-01-06 17:22:19,34.913,-nan(ind),-nan(ind)
2015-01-06 17:27:19,436.75,-nan(ind),-nan(ind)
2015-01-06 17:32:19,437.08,-nan(ind),-nan(ind)
2015-01-06 17:37:19,477.192,-nan(ind),-nan(ind)
2015-01-06 17:42:19,203.63,-nan(ind),-nan(ind)
2015-01-06 17:47:19,193.077,-nan(ind),-nan(ind)
2015-01-06 17:52:19,149.417,-nan(ind),-nan(ind)
2015-01-06 17:57:19,570.045,-nan(ind),-nan(ind)
2015-01-06 18:02:19,548.087,-nan(ind),-nan(ind)
2015-01-06 18:07:19,573.385,-nan(ind),-nan(ind)
2015-01-06 18:12:19,203.148,-nan(ind),-nan(ind)
2015-01-06 18:17:19,201.889,-nan(ind),-nan(ind)
2015-01-06 18:22:19,199.607,-nan(ind),-nan(ind)
2015-01-06 18:27:19,528.534,-nan(ind),-nan(ind)
2015-01-06 18:32:19,507.741,-nan(ind),-nan(ind)
2015-01-06 18:37:19,461.63,-nan(ind),-nan(ind)
2015-01-06 18:42:19,4359,-nan(ind),-nan(ind)
2015-01-06 18:47:19,5148.73,-nan(ind),-nan(ind)
2015-01-06 18:52:19,5147.82,-nan(ind),-nan(ind)
