date,value
0,3.55222
300,3.56525
600,3.58
900,3.58
1200,3.61499
1500,3.65332
1800,3.65708
2100,3.67983
2400,3.707
2700,3.707
3000,3.71375
3300,3.72014
3600,3.72119
3900,3.73128
4200,3.74066
4500,3.74334
4800,3.73847
5100,3.7352
5400,3.7352
5700,3.73385
6000,3.73441
6300,3.73762
6600,3.71059
6900,3.67881
7200,3.67886
7500,3.65106
7800,3.569
8100,3.569
8400,3.50525
8700,3.431
9000,3.431
9300,3.39519
9600,3.294
9900,3.294
10200,3.2521
10500,3.18229
10800,3.18498
11100,3.12193
11400,3.019
11700,3.019
12000,2.94006
12300,2.845
12600,2.845
12900,2.80166
13200,2.677
13500,2.677
13800,2.64112
14100,2.534
14400,2.534
14700,2.50544
15000,2.37915
15300,2.40443
15600,2.38431
15900,2.18
16200,2.18
16500,2.17284
16800,2.05662
17100,2.06325
17400,2.04516
17700,1.95661
18000,1.93084
18300,1.93439
18600,1.77357
18900,1.77625
19200,1.77614
19500,1.65585
19800,1.638
20100,1.62103
20400,1.56065
20700,1.54181
21000,1.53875
21300,1.467
21600,1.467
21900,1.46351
22200,1.38337
22500,1.3698
22800,1.365
23100,1.365
23400,1.30004
23700,1.28469
24000,1.22658
24300,1.23035
24600,1.23325
24900,1.20116
25200,1.193
25500,1.193
25800,1.14171
26100,1.132
26400,1.12976
26700,1.079
27000,1.079
27300,1.079
27600,1.05833
27900,1.04859
28200,1.04716
28500,1.0462
28800,1.047
29100,1.047
29400,1.02848
29700,1.018
30000,1.018
30300,1.01167
30600,1.008
30900,1.00786
31200,1.00479
31500,1.004
31800,1.004
32100,1.004
32400,1.004
32700,1.004
33000,1.01039
33300,1.01661
33600,1.01813
33900,1.05184
34200,1.059
34500,1.059
34800,1.06848
35100,1.074
35400,1.07524
35700,1.09678
36000,1.112
36300,1.11255
36600,1.13482
36900,1.133
37200,1.14527
37500,1.18382
37800,1.20077
38100,1.20312
38400,1.27519
38700,1.29
39000,1.29
39300,1.27449
39600,1.254
39900,1.254
40200,1.35177
40500,1.481
40800,1.481
41100,1.56561
41400,1.583
41700,1.583
42000,1.62421
42300,1.68
42600,1.68
42900,1.73172
43200,1.801
43500,1.801
43800,1.81828
44100,1.877
44400,1.877
44700,1.91831
45000,1.974
45300,1.974
45600,2.0162
45900,2.073
46200,2.073
46500,2.14173
46800,2.183
47100,2.183
47400,2.21646
47700,2.23997
48000,2.24579
48300,2.29832
