date,value
48600,2.322
48900,2.322
49200,2.34655
49500,2.38
49800,2.38
50100,2.41346
50400,2.45832
50700,2.46098
51000,2.48451
51300,2.51238
51600,2.50979
51900,2.52602
52200,2.53
52500,2.53109
52800,2.53889
53100,2.5792
53400,2.58461
53700,2.60099
54000,2.63384
54300,2.63952
54600,2.64402
54900,2.656
55200,2.656
55500,2.6694
55800,2.70634
56100,2.71341
56400,2.72484
56700,2.73601
57000,2.73077
57300,2.74805
57600,554.124
57900,378.059
58200,555.412
58500,2.808
58800,2.808
59100,2.81539
59400,2.826
59700,2.826
60000,1168.26
60300,1707.44
60600,1132.12
60900,543.18
61200,2.83779
61500,2.83926
61800,2.84059
62100,2.84
62400,2.84
62700,2.84612
63000,2.85337
63300,2.85343
63600,2.8631
63900,2.86709
64200,2.87411
64500,2.86529
64800,2.85429
65100,2.8586
65400,2.85828
65700,2.8722
66000,2.86942
66300,2.87221
66600,2.875
66900,2.875
67200,2.87643
67500,2.8816
67800,2.8816
68100,2.88666
68400,2.91962
68700,2.91652
69000,2.92591
69300,2.94226
69600,2.945
69900,2.9564
70200,2.98613
70500,2.99222
70800,3.01429
71100,3.02857
71400,3.0268
71700,3.025
72000,3.06627
72300,3.08638
72600,3.09245
72900,3.12055
73200,3.1202
73500,3.1208
73800,3.1427
74100,3.149
74400,3.15199
74700,3.1598
75000,3.16537
75300,3.169
75600,3.17198
75900,3.174
76200,3.18846
76500,3.19665
76800,3.20574
77100,3.21057
77400,3.21001
77700,3.22106
78000,3.23001
78300,3.23661
78600,3.24292
78900,3.2468
79200,3.2466
79500,3.25082
79800,3.27013
80100,3.27045
80400,3.2818
80700,3.28501
81000,3.30038
81300,3.32857
81600,3.34322
81900,3.36832
82200,3.37229
82500,3.376
82800,3.39198
83100,3.42042
83400,3.43698
83700,3.44634
84000,3.46443
84300,3.47851
84600,3.493
84900,3.50226
85200,3.51242
85500,3.51979
85800,3.53713
86100,3.54021
86400,3.55099
86700,3.56235
87000,3.598
87300,3.5996
87600,3.60113
87900,3.61725
88200,3.67
88500,3.66936
88800,3.70048
89100,3.71726
89400,3.72116
89700,3.72727
90000,3.734
90300,3.74478
90600,3.78132
90900,3.79232
91200,3.78927
91500,3.78458
91800,3.77299
92100,3.77444
92400,3.77447
92700,3.72339
93000,3.74146
93300,3.68839
93600,3.683
93900,3.683
94200,3.67604
94500,3.66696
94800,3.65718
95100,3.59476
95400,3.506
95700,3.48662
96000,3.46961
96300,3.409
96600,3.38279
96900,3.34823
97200,3.26456
97500,3.17173
97800,3.1295
98100,3.04773
98400,3.00977
98700,2.94726
99000,2.83783
99300,2.85019
99600,2.76317
99900,2.63263
100200,2.63135
100500,2.55926
100800,2.52155
101100,2.47912
101400,2.3542
101700,2.33865
102000,2.28098
102300,2.19306
102600,2.12104
102900,2.1141
103200,2.06279
103500,1.96282
103800,1.99886
104100,1.90104
104400,1.81196
104700,1.81416
105000,1.76471
105300,1.66356
105600,1.68647
105900,1.60604
106200,1.56544
106500,1.55477
106800,1.53398
107100,1.49777
107400,1.48526
107700,1.41837
108000,1.38018
108300,1.3847
108600,1.36664
108900,1.3289
109200,1.32371
109500,1.29099
109800,1.26555
110100,1.271
110400,1.25059
110700,1.20146
111000,1.21659
111300,1.2014
111600,1.18913
111900,1.19577
112200,1.17938
112500,1.16218
112800,1.14658
113100,1.13301
113400,1.118
113700,1.1114
114000,1.1164
114300,1.0786
114600,1.07205
114900,1.06941
115200,1.0744
115500,1.06719
115800,1.05918
116100,1.0478
116400,1.04391
116700,1.032
117000,1.032
117300,1.032
117600,1.032
117900,1.0314
118200,1.03406
118500,1.04461
118800,1.05131
119100,1.04923
119400,1.0524
119700,1.05599
120000,1.07224
120300,1.0818
120600,1.086
120900,1.0867
121200,1.09283
121500,1.10896
121800,1.11672
122100,1.1504
122400,1.15938
122700,1.1893
123000,1.21857
123300,1.25051
123600,1.26592
123900,1.30019
124200,1.31222
124500,1.33116
124800,1.37258
125100,1.38178
125400,1.389
125700,1.46354
126000,1.4702
126300,1.49319
126600,1.54402
126900,1.56108
127200,1.569
127500,1.61609
127800,1.64753
128100,1.67397
128400,1.71708
128700,1.72202
129000,1.736
129300,1.78407
129600,1.83444
129900,1.85699
130200,1.874
130500,1.88113
130800,1.895
131100,1.92108
131400,1.95574
131700,2.001
132000,1.98813
132300,2.02304
132600,2.03344
132900,2.09588
133200,2.13864
133500,2.17244
133800,2.21314
134100,2.22108
134400,2.25862
134700,2.29433
135000,2.29817
135300,2.30113
135600,2.33633
135900,2.35252
136200,2.36653
136500,2.42081
136800,2.42645
137100,2.43733
137400,2.45779
137700,2.46849
138000,2.47379
138300,2.4969
138600,2.4992
138900,2.50375
139200,2.507
139500,2.51452
139800,2.52296
140100,2.56418
140400,2.57307
140700,2.5843
141000,2.60601
141300,2.61653
141600,2.62377
141900,2.64178
142200,2.64265
142500,2.66295
142800,2.669
143100,2.669
143400,2.67843
143700,2.70018
144000,2.6992
144300,2.70622
144600,2.73083
144900,2.74796
145200,2.76645
145500,2.78122
145800,2.78559
146100,2.79122
146400,2.79998
146700,2.801
147000,2.8082
147300,2.82332
147600,2.825
147900,2.82579
148200,2.82443
148500,2.8218
148800,2.82461
149100,2.85513
149400,2.85913
149700,2.86638
150000,2.88332
150300,2.88251
150600,2.8892
150900,2.89668
151200,2.8984
151500,2.90083
151800,2.90339
152100,2.91019
152400,2.913
152700,2.92021
153000,2.92217
153300,2.9402
153600,2.94737
153900,2.954
154200,2.954
154500,2.9632
154800,2.96295
155100,2.96779
155400,2.97588
155700,2.98483
156000,2.99775
156300,3.01281
156600,3.0168
156900,3.05526
157200,3.07325
157500,3.08187
157800,3.09153
158100,3.09781
158400,3.09931
158700,3.11687
159000,3.13474
159300,3.14086
159600,3.142
159900,3.14359
160200,3.1526
160500,3.16045
160800,3.17589
161100,3.1806
161400,3.18516
161700,3.18699
162000,3.196
162300,3.19788
162600,3.2124
162900,3.2124
163200,3.21362
163500,3.21639
163800,3.218
164100,3.2185
164400,3.22061
164700,3.22319
165000,3.22101
165300,3.2238
165600,3.223
165900,3.22783
166200,3.2294
166500,3.245
166800,3.2515
167100,3.27765
167400,3.29741
167700,3.29124
168000,3.32481
168300,3.33942
168600,3.34055
168900,3.35195
169200,3.373
169500,3.373
169800,3.40289
170100,3.43649
170400,3.44574
170700,3.45138
171000,3.46582
171300,3.47707
171600,3.49401
171900,3.50961
172200,3.52753
172500,3.53858
172800,3.5522
173100,3.56335
173400,3.60399
173700,3.613
174000,3.61923
174300,3.62736
174600,3.638
174900,3.638
175200,3.68316
175500,3.73359
175800,3.73801
176100,3.74511
176400,3.75102
176700,3.75126
177000,3.76332
177300,3.7902
177600,3.7904
177900,3.76991
178200,3.749
178500,3.74747
178800,3.73879
179100,3.7262
179400,3.72323
179700,3.65515
180000,3.6324
180300,3.62871
180600,3.60137
180900,3.55438
181200,3.57032
181500,3.49325
181800,3.42502
182100,3.40727
182400,3.30236
182700,3.27733
183000,3.26781
183300,3.18562
183600,3.14969
183900,3.13028
184200,3.03068
184500,2.97203
184800,2.9676
185100,2.88616
185400,2.78675
185700,2.78997
186000,2.68176
186300,2.638
186600,2.638
186900,2.60163
187200,2.43852
187500,2.456
187800,2.31095
188100,2.22062
188400,2.22065
188700,2.1492
189000,2.07041
189300,2.06741
189600,1.9757
189900,1.94777
190200,1.9043
190500,1.78287
190800,1.72978
191100,1.73101
191400,1.682
191700,1.67278
192000,1.60814
192300,1.53542
192600,1.51939
192900,1.51247
193200,1.46627
193500,1.43541
193800,1.40458
194100,1.37937
194400,1.33675
194700,1.34363
195000,1.3084
195300,1.28881
195600,1.26388
195900,1.26155
196200,1.25008
196500,1.2386
196800,1.22278
197100,1.21252
197400,1.203
197700,1.18505
198000,1.15999
198300,1.15578
198600,1.1297
198900,1.11316
199200,1.08682
199500,1.08796
199800,1.07179
200100,1.07178
200400,1.05873
200700,1.052
201000,1.05662
201300,1.0602
201600,1.05833
201900,1.05439
202200,1.04617
202500,1.04109
202800,1.033
203100,1.033
203400,1.02553
203700,1.01962
204000,1.01315
204300,1.01
204600,1.01
204900,1.01
205200,1.01185
205500,1.044
205800,1.042
206100,1.03945
206400,1.0222
206700,1.02411
207000,1.03722
207300,1.0596
207600,1.06336
207900,1.08246
208200,1.10075
208500,1.13329
208800,1.13748
209100,1.16558
209400,1.16938
209700,1.20479
210000,1.22318
210300,1.24733
210600,1.25688
210900,1.29358
211200,1.3112
211500,1.32513
211800,1.37326
212100,1.36125
212400,1.44442
212700,1.49172
213000,1.50866
213300,1.56265
213600,1.60901
213900,1.60175
214200,1.619
214500,1.64855
214800,1.66779
215100,1.71864
215400,1.76827
215700,1.74594
216000,1.79366
216300,1.82714
216600,1.8228
216900,1.86499
217200,1.91053
217500,1.94431
217800,1.9598
218100,1.99745
218400,2.01103
218700,2.04177
219000,2.0753
219300,2.09794
219600,2.10515
219900,2.18992
220200,2.2
220500,2.21245
220800,2.23129
221100,2.23204
221400,2.2658
221700,2.28688
222000,2.28998
222300,2.30443
222600,2.32618
222900,2.34878
223200,2.376
223500,2.376
223800,2.38458
224100,2.412
224400,2.412
224700,2.41841
225000,2.43926
225300,2.44476
225600,2.44537
225900,2.469
226200,2.469
226500,2.469
226800,2.49575
227100,2.501
227400,2.501
227700,2.53689
228000,2.544
228300,2.545
228600,2.57871
228900,2.57809
229200,2.57691
229500,2.59865
229800,2.602
230100,2.602
230400,2.62282
230700,2.627
231000,2.62854
231300,2.674
231600,2.674
231900,2.67465
232200,2.695
232500,2.695
232800,2.69643
233100,2.744
233400,2.744
233700,2.74414
234000,2.7653
234300,2.75669
234600,2.75661
234900,2.80159
235200,2.8018
235500,2.80539
235800,2.8249
236100,2.8294
236400,2.83222
236700,2.85064
237000,2.8552
237300,2.8538
237600,2.86233
237900,2.86496
238200,2.865
238500,2.87654
238800,2.88
239100,2.877
239400,2.90199
239700,2.91438
240000,2.91442
240300,2.93121
240600,2.93298
240900,2.93602
241200,2.94474
241500,2.94556
241800,2.93926
242100,2.94853
242400,2.952
242700,2.952
243000,3.01107
243300,3.024
243600,3.024
243900,3.03794
244200,3.041
244500,3.041
244800,3.06918
245100,3.07133
245400,3.07429
245700,3.08781
246000,3.092
246300,3.09292
246600,3.11655
246900,3.132
247200,3.13213
247500,3.14
247800,3.14
248100,3.14
248400,3.1462
248700,3.15552
249000,3.14992
249300,3.16323
249600,3.165
249900,3.165
250200,3.15529
250500,3.153
250800,3.153
251100,3.16819
251400,3.178
251700,3.178
252000,3.21233
252300,3.23284
252600,3.22801
252900,3.23464
253200,3.249
253500,3.249
253800,3.27562
254100,3.2938
254400,3.29625
254700,3.32462
255000,3.3362
255300,3.33622
255600,3.35836
255900,3.381
256200,3.381
256500,3.41237
256800,3.433
257100,3.433
257400,3.45888
257700,3.476
258000,3.476
258300,3.50976
258600,3.532
258900,3.532
259200,3.55486
259500,3.57
259800,3.57
260100,3.58743
260400,3.599
260700,3.599
261000,3.62961
261300,3.65
261600,3.65
261900,3.67932
262200,3.699
262500,3.699
262800,3.72171
263100,3.737
263400,3.737
263700,3.73484
264000,3.726
264300,3.726
264600,3.72481
264900,3.723
265200,3.723
265500,3.70518
265800,3.66367
266100,3.6683
266400,3.64125
266700,3.571
267000,3.571
267300,3.55016
267600,3.464
267900,3.464
268200,3.42066
268500,3.354
268800,3.354
269100,3.32664
269400,3.21796
269700,3.217
270000,3.217
270300,3.04719
270600,3.026
270900,3.01354
271200,2.88613
271500,2.91097
271800,2.834
272100,2.66337
272400,2.67264
272700,2.61899
273000,2.48455
273300,2.483
273600,2.41647
273900,2.312
274200,2.312
274500,2.29958
274800,2.23296
275100,2.21444
275400,2.12851
275700,1.99531
276000,1.993
276300,1.97254
276600,1.94
276900,1.94
277200,1.89966
277500,1.7508
277800,1.738
278100,1.69785
278400,1.66331
278700,1.65383
279000,1.58954
279300,1.488
279600,1.488
279900,1.488
280200,1.43493
280500,1.45065
280800,1.45116
281100,1.33037
281400,1.327
281700,1.327
282000,1.28501
282300,1.27177
282600,1.26279
282900,1.22559
283200,1.215
283500,1.215
283800,1.17504
284100,1.17438
284400,1.17722
284700,1.13316
285000,1.12
285300,1.11914
285600,1.11087
285900,1.10469
286200,1.09649
286500,1.06941
286800,1.063
287100,1.06113
287400,1.0542
287700,1.052
288000,1.0482
288300,1.03
288600,1.03
288900,1.03
289200,1.02382
289500,1.022
289800,1.022
290100,1.03509
290400,1.039
290700,1.039
291000,1.04054
291300,1.041
291600,1.041
291900,1.05485
292200,1.059
292500,1.059
292800,1.06592
293100,1.068
293400,1.068
293700,1.10022
294000,1.11
294300,1.11
294600,1.14678
294900,1.158
295200,1.158
295500,1.19304
295800,1.204
296100,1.204
296400,1.24292
296700,1.273
297000,1.273
297300,1.32148
297600,1.34681
297900,1.3516
298200,1.41355
298500,1.45787
298800,1.46726
299100,1.50344
299400,1.56001
299700,1.55998
300000,1.60339
300300,1.63381
300600,1.64062
300900,1.69065
301200,1.72542
301500,1.7086
301800,1.7847
302100,1.80318
302400,1.80443
302700,1.84337
303000,1.87524
303300,1.85998
303600,1.91605
303900,1.95037
304200,1.94
304500,2.00274
304800,2.03158
305100,2.02246
305400,2.07649
305700,2.11902
306000,2.11415
306300,2.12614
306600,2.1742
306900,2.18575
307200,2.19901
307500,2.23557
307800,2.2332
308100,2.24659
308400,2.25804
308700,2.25719
309000,2.27426
309300,2.32078
309600,2.31399
309900,2.33794
310200,2.3636
310500,2.3692
310800,2.37128
311100,2.3896
311400,2.39019
311700,2.39398
312000,2.41384
312300,2.41236
312600,2.42021
312900,2.44601
313200,2.4472
313500,2.4598
313800,2.47719
314100,2.479
314400,2.49619
314700,2.51959
315000,2.522
315300,2.53092
315600,2.548
315900,2.548
316200,2.55446
316500,2.579
316800,2.581
317100,2.58454
317400,2.606
317700,2.60918
318000,2.61466
318300,2.67277
318600,2.676
318900,2.68213
319200,2.6946
319500,2.6946
319800,2.69733
320100,2.715
320400,2.715
320700,2.715
321000,2.7297
321300,2.735
321600,2.75274
321900,2.788
322200,2.788
322500,2.79059
322800,2.8018
323100,2.80133
323400,2.80965
323700,2.8204
324000,2.824
324300,2.824
324600,2.83143
324900,2.832
325200,2.832
325500,2.8506
325800,2.852
326100,2.85537
326400,2.878
326700,2.878
327000,2.88006
327300,2.8908
327600,2.894
327900,2.89528
328200,2.904
328500,2.904
328800,2.91167
329100,2.964
329400,2.964
329700,2.964
330000,2.98217
330300,2.989
330600,2.99315
330900,3.023
331200,3.023
331500,3.023
331800,3.05484
332100,3.0631
332400,3.06687
332700,3.11309
333000,3.129
333300,3.129
333600,3.15011
333900,3.158
334200,3.158
334500,3.1551
334800,3.154
335100,3.154
335400,3.16785
335700,3.169
336000,3.169
336300,3.18833
336600,3.19
336900,3.19
337200,3.21099
337500,3.219
337800,3.219
338100,3.20458
338400,3.199
338700,3.199
339000,3.21603
339300,3.2241
339600,3.23029
339900,3.27158
340200,3.285
340500,3.285
340800,3.31328
341100,3.32236
341400,3.31926
341700,3.34007
342000,3.347
342300,3.347
342600,3.36825
342900,3.388
343200,3.388
343500,3.40298
343800,3.417
344100,3.417
344400,3.48162
344700,3.542
345000,3.542
345300,3.50326
345600,3.488
345900,3.488
346200,3.51542
346500,3.53971
346800,3.53915
347100,3.53084
347400,3.54422
347700,3.5508
348000,3.55548
348300,3.57407
348600,3.56796
348900,3.57622
349200,3.57
349500,3.57
349800,3.57022
350100,3.57353
350400,3.57408
350700,3.56507
351000,3.56494
351300,3.56505
351600,3.55139
351900,3.53602
352200,3.52899
352500,3.52241
352800,3.509
353100,3.509
353400,3.47508
353700,3.41152
354000,3.41116
354300,3.38893
354600,3.29139
354900,3.29538
355200,3.26955
355500,3.2516
355800,3.24344
356100,3.23
356400,3.11722
356700,3.105
357000,3.04928
357300,2.92218
357600,2.91345
357900,2.85455
358200,2.75657
358500,2.7654
358800,2.75216
359100,2.60827
359400,2.59863
359700,2.57061
360000,2.445
360300,2.445
360600,2.42722
360900,2.23303
361200,2.21933
361500,2.21291
361800,2.07746
362100,2.05829
362400,2.06726
362700,1.92156
363000,1.91051
363300,1.92108
363600,1.83124
363900,1.824
364200,1.824
364500,1.68205
364800,1.67601
365100,1.67863
365400,1.55677
365700,1.56288
366000,1.54919
366300,1.45657
366600,1.446
366900,1.4339
367200,1.405
367500,1.405
367800,1.39462
368100,1.295
368400,1.295
368700,1.2824
369000,1.2606
369300,1.252
369600,1.24496
369900,1.19123
370200,1.176
370500,1.176
370800,1.15696
371100,1.15804
371400,1.1518
371700,1.13001
372000,1.126
372300,1.126
372600,1.08729
372900,1.07814
373200,1.08363
373500,1.0644
373800,1.063
374100,1.063
374400,1.04573
374700,1.0248
375000,1.02598
375300,1.00759
375600,1.004
375900,1.004
376200,1.00076
376500,0.9992
376800,0.999
377100,0.998512
377400,0.998
377700,0.998
378000,1.02726
378300,1.0266
378600,1.02788
378900,1.02137
379200,1.022
379500,1.02413
379800,1.04079
380100,1.0576
380400,1.05251
380700,1.08132
381000,1.11265
381300,1.09534
381600,1.15017
381900,1.169
382200,1.169
382500,1.19275
382800,1.204
383100,1.204
383400,1.23317
383700,1.2636
384000,1.28019
384300,1.36445
384600,1.4068
384900,1.41082
385200,1.46051
385500,1.53456
385800,1.50941
386100,1.57293
386400,1.595
386700,1.595
387000,1.65963
387300,1.69049
387600,1.68899
387900,1.75008
388200,1.78676
388500,1.76805
388800,1.83737
389100,1.879
389400,1.879
389700,1.8902
390000,1.947
390300,1.91702
390600,1.97644
390900,2.02799
391200,2.03496
391500,2.07721
391800,2.12094
392100,2.1258
392400,2.16238
392700,2.22
393000,2.22
393300,2.24344
393600,2.27
393900,2.27
394200,2.28123
394500,2.294
394800,2.3036
395100,2.3084
395400,2.33719
395700,2.35445
396000,2.36788
396300,2.39379
396600,2.40907
396900,2.41841
397200,2.4272
397500,2.43386
397800,2.44386
398100,2.4601
398400,2.46266
398700,2.47142
399000,2.484
399300,2.48604
399600,2.50319
399900,2.52935
400200,2.53789
400500,2.5423
400800,2.5492
401100,2.56151
401400,2.5702
401700,2.58075
402000,2.58738
402300,2.59357
402600,2.60221
402900,2.61098
403200,2.62201
403500,2.62895
403800,2.64801
404100,2.65161
404400,2.68985
404700,2.69598
405000,2.71172
405300,2.72816
405600,2.74022
405900,2.75496
406200,2.78784
406500,2.79342
406800,2.80378
407100,2.81396
407400,2.82219
407700,2.84141
408000,2.85144
408300,2.85156
408600,2.86971
408900,2.88466
409200,2.89066
409500,2.90841
409800,2.91014
410100,2.915
410400,2.92496
410700,2.93287
411000,2.93434
411300,2.94828
411600,2.95714
411900,2.96373
412200,2.99017
412500,2.99658
412800,3.03141
413100,3.039
413400,3.04321
413700,3.04836
414000,3.06194
414300,3.0618
414600,3.07964
414900,3.09998
415200,3.10583
415500,3.11139
415800,3.133
416100,3.133
416400,3.14936
416700,3.16178
417000,3.16563
417300,3.16957
417600,3.19
417900,3.19162
418200,3.20323
418500,3.22117
418800,3.23219
419100,3.23219
419400,3.24888
419700,3.2552
420000,3.2552
420300,3.26225
420600,3.26532
420900,3.26099
421200,3.26052
421500,3.2604
421800,3.2608
422100,3.26728
422400,3.26647
422700,3.2654
423000,3.26144
423300,3.26
423600,3.2604
423900,3.26155
424200,3.26301
424500,3.25837
424800,3.26006
425100,3.25724
425400,3.26776
425700,3.27745
426000,3.27358
426300,3.29791
426600,3.30733
426900,3.30779
427200,3.3252
427500,3.33059
427800,3.337
428100,3.366
428400,3.3659
428700,3.37443
429000,3.39802
429300,3.399
429600,3.41084
429900,3.41957
430200,3.44206
430500,3.44203
430800,3.48168
431100,3.49294
431400,3.511
431700,3.511
432000,3.51541
432300,3.5132
432600,3.51352
432900,3.51875
433200,3.52062
433500,3.52261
433800,3.54085
434100,3.5424
434400,3.55542
434700,3.56337
435000,3.5636
435300,3.58441
435600,3.60142
435900,3.60979
436200,3.6114
436500,3.6173
436800,3.62393
437100,3.61806
437400,3.61165
437700,3.59953
438000,3.59544
438300,3.58293
438600,3.57546
438900,3.54305
439200,3.52398
439500,3.52054
439800,3.51324
440100,3.48853
440400,3.473
440700,3.43679
441000,3.40469
441300,3.39134
441600,3.34841
441900,3.31759
442200,3.327
442500,3.25105
442800,3.22574
443100,3.19197
443400,3.13184
443700,3.04831
444000,2.9846
444300,2.94381
444600,2.9103
444900,2.85267
445200,2.7862
445500,2.76275
445800,2.72647
446100,2.67653
446400,2.64131
446700,2.62028
447000,2.57941
447300,2.50063
447600,2.391
447900,2.39292
448200,2.36607
448500,2.30795
448800,2.20446
449100,2.16942
449400,2.11483
449700,2.10124
450000,2.05477
450300,1.9895
450600,1.94741
450900,1.93931
451200,1.88287
451500,1.84692
451800,1.81345
452100,1.7377
452400,1.72916
452700,1.68855
453000,1.65146
453300,1.63453
453600,1.61054
453900,1.52333
454200,1.53301
454500,1.49986
454800,1.45575
455100,1.43728
455400,1.4304
455700,1.4
456000,1.39172
456300,1.36556
456600,1.32558
456900,1.3198
457200,1.314
457500,1.25577
457800,1.24012
458100,1.23648
458400,1.21744
458700,1.21221
459000,1.19581
459300,1.179
459600,1.17168
459900,1.15749
460200,1.15311
460500,1.14175
460800,1.13965
461100,1.12573
461400,1.11242
461700,1.09517
462000,1.0802
462300,1.0808
462600,1.0814
462900,1.07544
463200,1.07551
463500,1.0583
463800,1.06164
464100,1.05705
464400,1.06094
464700,1.05098
465000,1.0526
465300,1.0484
465600,1.04861
465900,1.04859
466200,1.05021
466500,1.05337
466800,1.05495
467100,1.06334
467400,1.0708
467700,1.08215
468000,1.10191
468300,1.10892
468600,1.11779
468900,1.13275
469200,1.14742
469500,1.1594
469800,1.17569
470100,1.19186
470400,1.21056
470700,1.25172
471000,1.27219
471300,1.262
471600,1.32589
471900,1.3641
472200,1.36987
472500,1.4177
472800,1.44038
473100,1.46245
473400,1.53192
473700,1.56622
474000,1.57477
474300,1.61617
474600,1.68138
474900,1.68603
475200,1.756
475500,1.80804
475800,1.83002
476100,1.89458
476400,1.91727
476700,1.97879
477000,2.00659
477300,2.03344
477600,2.06798
477900,2.08603
478200,2.12091
478500,2.14887
478800,2.19421
479100,2.2488
479400,2.282
479700,2.30161
480000,2.32243
480300,2.34431
480600,2.38826
480900,2.41547
481200,2.423
481500,2.43043
481800,2.46017
482100,2.49256
482400,2.53402
482700,2.56594
483000,2.573
483300,2.573
483600,2.62335
483900,2.67061
484200,2.68744
484500,2.69024
484800,2.695
485100,2.71146
485400,2.76185
485700,2.7908
486000,2.80241
486300,2.81833
486600,2.844
486900,2.84648
487200,2.85299
487500,2.86341
487800,2.87608
488100,2.9034
488400,2.909
488700,2.909
489000,2.922
489300,2.932
489600,2.96345
489900,2.9776
490200,2.9902
490500,2.99641
490800,3.0023
491100,3.0064
491400,3.0052
491700,3.00925
492000,3.011
492300,3.01601
492600,3.03184
492900,3.04814
493200,3.05266
493500,3.06403
493800,3.07704
494100,3.07424
494400,3.08836
494700,3.111
495000,3.10999
495300,3.10917
495600,3.10018
495900,3.10303
496200,3.1169
496500,3.126
496800,3.12491
497100,3.12097
497400,3.1212
497700,3.1212
498000,3.11822
498300,3.12161
498600,3.1198
498900,3.12519
499200,3.123
499500,3.123
499800,3.12903
500100,3.1334
500400,3.13333
500700,3.13873
501000,3.14098
501300,3.1422
501600,3.14985
501900,3.1498
502200,3.1492
502500,3.1651
502800,3.17303
503100,3.1744
503400,3.17247
503700,3.18824
504000,3.17859
504300,3.20127
504600,3.20722
504900,3.208
505200,3.21238
505500,3.2192
505800,3.22079
506100,3.23625
506400,3.24499
506700,3.24573
507000,3.25185
507300,3.27498
507600,3.27291
507900,3.28143
508200,3.28418
508500,3.2844
508800,3.2878
509100,3.28739
509400,3.28961
509700,3.28196
510000,3.27847
510300,3.27694
510600,3.29318
510900,3.31
511200,3.31032
511500,3.303
511800,3.28825
512100,3.28646
512400,3.29532
512700,3.30549
513000,3.30931
513300,3.3081
513600,3.32589
513900,3.32739
514200,3.3326
514500,3.34008
514800,3.34107
515100,3.35235
515400,3.3762
515700,3.37986
516000,3.3836
516300,3.39952
516600,3.401
516900,3.405
517200,3.41082
517500,3.41224
517800,3.40896
518100,3.41106
518400,3.41
518700,3.41106
519000,3.41489
519300,3.41035
519600,3.42704
519900,3.45052
520200,3.4522
520500,3.4514
520800,3.47821
521100,3.48439
521400,3.49461
521700,3.516
522000,3.516
522300,3.52382
522600,3.53523
522900,3.54
523200,3.52057
523500,3.51045
523800,3.503
524100,3.49518
524400,3.48453
524700,3.483
525000,3.483
525300,3.44614
525600,3.443
525900,3.42722
526200,3.40455
526500,3.395
526800,3.3907
527100,3.36614
527400,3.359
527700,3.32728
528000,3.27978
528300,3.26
528600,3.22712
528900,3.157
529200,3.157
529500,3.157
529800,3.07685
530100,3.046
530400,3.046
530700,2.93229
531000,2.922
531300,2.90684
531600,2.84359
531900,2.791
532200,2.77418
532500,2.70348
532800,2.645
533100,2.645
533400,2.57356
533700,2.506
534000,2.47973
534300,2.4125
534600,2.375
534900,2.35727
535200,2.217
535500,2.217
535800,2.20381
536100,2.098
536400,2.098
536700,2.098
537000,2.02739
537300,1.96
537600,1.96
537900,1.89673
538200,1.836
538500,1.82182
538800,1.75908
539100,1.708
539400,1.708
539700,1.6529
540000,1.63
540300,1.61851
540600,1.56675
